sample_id,split,modality,start_index,end_index,impact_score,is_top_k
13,attachment4,text,14,20,0.009053988382220268,False
13,attachment4,text,21,27,0.010590153746306896,False
13,attachment4,text,28,34,0.02973242849111557,True
13,attachment4,text,35,41,0.026937155053019524,False
13,attachment4,text,42,48,0.020066795870661736,True
13,attachment4,text,49,49,0.0012407214380800724,False
13,attachment4,audio,0,6,0.012705760076642036,False
13,attachment4,audio,7,13,0.0029134033247828484,False
13,attachment4,audio,14,20,0.015489195473492146,True
13,attachment4,audio,21,27,0.010345103219151497,False
13,attachment4,audio,28,34,0.024672415107488632,True
13,attachment4,audio,35,41,0.04081646725535393,False
13,attachment4,audio,42,48,0.0410919226706028,True
13,attachment4,audio,49,49,0.005821260157972574,False
13,attachment4,vision,0,6,0.009740347974002361,False
13,attachment4,vision,7,13,0.01018329057842493,True
13,attachment4,vision,14,20,0.010126851499080658,False
13,attachment4,vision,21,27,0.010208040475845337,True
13,attachment4,vision,28,34,0.010120806284248829,False
13,attachment4,vision,35,41,0.009868267923593521,False
13,attachment4,vision,42,48,0.010267427191138268,True
13,attachment4,vision,49,49,0.00186317996121943,False
14,attachment4,text,0,6,0.019031327217817307,True
14,attachment4,text,7,13,0.011927001178264618,False
14,attachment4,text,14,20,0.010586701333522797,False
14,attachment4,text,21,27,0.016067463904619217,False
14,attachment4,text,28,34,0.02312752977013588,True
14,attachment4,text,35,41,0.016134213656187057,False
14,attachment4,text,42,48,0.03189665824174881,True
14,attachment4,text,49,49,0.006237774156033993,False
14,attachment4,audio,0,6,0.06261587142944336,True
14,attachment4,audio,7,13,0.05872352421283722,False
14,attachment4,audio,14,20,0.07872754335403442,True
14,attachment4,audio,21,27,0.07601361721754074,False
14,attachment4,audio,28,34,0.06928148865699768,True
14,attachment4,audio,35,41,0.02692517079412937,False
14,attachment4,audio,42,48,0.02121591940522194,False
14,attachment4,audio,49,49,0.0019353644456714392,False
14,attachment4,vision,0,6,0.0395585373044014,True
14,attachment4,vision,7,13,0.05319768190383911,False
14,attachment4,vision,14,20,0.08429257571697235,True
14,attachment4,vision,21,27,0.07989180833101273,False
14,attachment4,vision,28,34,0.08350951224565506,True
14,attachment4,vision,35,41,0.0033463966101408005,False
14,attachment4,vision,42,48,0.012855319306254387,False
14,attachment4,vision,49,49,0.001752201234921813,False
15,attachment4,text,0,6,0.005804531276226044,True
15,attachment4,text,7,13,0.0028611875604838133,False
15,attachment4,text,14,20,0.004853755235671997,False
15,attachment4,text,21,27,0.003558033611625433,False
15,attachment4,text,28,34,0.04834744334220886,True
15,attachment4,text,35,41,0.015001010149717331,False
15,attachment4,text,42,48,0.008025161921977997,True
15,attachment4,text,49,49,0.0007964079850353301,False
15,attachment4,audio,0,6,0.0057158442214131355,False
15,attachment4,audio,7,13,0.020791485905647278,True
15,attachment4,audio,14,20,0.019786348566412926,False
15,attachment4,audio,21,27,0.0327422209084034,False
15,attachment4,audio,28,34,0.04138078913092613,True
15,attachment4,audio,35,41,0.04142449051141739,False
15,attachment4,audio,42,48,0.04168062284588814,True
15,attachment4,audio,49,49,0.0058537498116493225,False
15,attachment4,vision,0,6,0.009698165580630302,True
15,attachment4,vision,7,13,0.0015660310164093971,False
15,attachment4,vision,14,20,0.0029701257590204477,False
15,attachment4,vision,21,27,0.02932606264948845,False
15,attachment4,vision,28,34,0.03781800717115402,True
15,attachment4,vision,35,41,0.03764910250902176,False
15,attachment4,vision,42,48,0.03805762901902199,True
15,attachment4,vision,49,49,0.005514601245522499,False
16,attachment4,text,0,6,0.024222481995821,False
16,attachment4,text,7,13,0.02458333596587181,False
16,attachment4,text,14,20,0.03267481550574303,True
16,attachment4,text,21,27,0.02769973874092102,False
16,attachment4,text,28,34,0.02616242691874504,True
16,attachment4,text,35,41,0.028907235711812973,False
16,attachment4,text,42,48,0.03623277693986893,True
