sample_id,modality,rank,start_index,end_index,impact_score,time_source
15,text,3,0,4,0.0208706334233284,aligned_window_index; source mapping required
15,audio,1,10,14,0.09986156225204468,aligned_window_index; source mapping required
15,audio,2,25,29,0.04468844085931778,aligned_window_index; source mapping required
15,audio,3,40,44,0.043942783027887344,aligned_window_index; source mapping required
15,vision,1,15,19,0.04417882114648819,aligned_window_index; source mapping required
15,vision,2,5,9,0.0346369743347168,aligned_window_index; source mapping required
15,vision,3,40,44,0.01776065304875374,aligned_window_index; source mapping required
16,text,1,0,4,0.1627892255783081,aligned_window_index; source mapping required
16,text,2,30,34,0.09704603254795074,aligned_window_index; source mapping required
16,text,3,45,49,0.03791823238134384,aligned_window_index; source mapping required
16,audio,1,0,4,0.07237095385789871,aligned_window_index; source mapping required
16,audio,2,10,14,0.03283757343888283,aligned_window_index; source mapping required
16,audio,3,40,44,0.02375274896621704,aligned_window_index; source mapping required
16,vision,1,5,9,0.020941276103258133,aligned_window_index; source mapping required
16,vision,2,15,19,0.007001757621765137,aligned_window_index; source mapping required
16,vision,3,40,44,0.006119374185800552,aligned_window_index; source mapping required
17,text,1,35,39,0.10539939999580383,aligned_window_index; source mapping required
17,text,2,10,14,0.09952367842197418,aligned_window_index; source mapping required
17,text,3,45,49,0.08670724183320999,aligned_window_index; source mapping required
17,audio,1,5,9,0.10888972878456116,aligned_window_index; source mapping required
17,audio,2,15,19,0.07055781036615372,aligned_window_index; source mapping required
17,audio,3,25,29,0.05057176947593689,aligned_window_index; source mapping required
17,vision,1,20,24,0.08375706523656845,aligned_window_index; source mapping required
17,vision,2,10,14,0.04713117703795433,aligned_window_index; source mapping required
17,vision,3,35,39,0.03300625830888748,aligned_window_index; source mapping required
18,text,1,45,49,0.0760917216539383,aligned_window_index; source mapping required
18,text,2,35,39,0.06344569474458694,aligned_window_index; source mapping required
18,text,3,20,24,0.04557788744568825,aligned_window_index; source mapping required
18,audio,1,45,49,0.10245051980018616,aligned_window_index; source mapping required
18,audio,2,15,19,0.0483725443482399,aligned_window_index; source mapping required
18,audio,3,25,29,0.03800347074866295,aligned_window_index; source mapping required
18,vision,1,45,49,0.03955948352813721,aligned_window_index; source mapping required
18,vision,2,25,29,0.020658979192376137,aligned_window_index; source mapping required
18,vision,3,0,4,0.013143893331289291,aligned_window_index; source mapping required
19,text,1,25,29,0.1712329238653183,aligned_window_index; source mapping required
19,text,2,45,49,0.16682690382003784,aligned_window_index; source mapping required
19,text,3,35,39,0.05880217254161835,aligned_window_index; source mapping required
19,audio,1,5,9,0.08084406703710556,aligned_window_index; source mapping required
19,audio,2,40,44,0.04231903702020645,aligned_window_index; source mapping required
19,audio,3,30,34,0.039890266954898834,aligned_window_index; source mapping required
19,vision,1,20,24,0.042785875499248505,aligned_window_index; source mapping required
19,vision,2,30,34,0.028475487604737282,aligned_window_index; source mapping required
19,vision,3,0,4,0.023050284013152122,aligned_window_index; source mapping required
20,text,1,45,49,0.10903150588274002,aligned_window_index; source mapping required
20,text,2,5,9,0.06877975165843964,aligned_window_index; source mapping required
20,text,3,30,34,0.05250507593154907,aligned_window_index; source mapping required
20,audio,1,45,49,0.05775436386466026,aligned_window_index; source mapping required
20,audio,2,0,4,0.044512324035167694,aligned_window_index; source mapping required
20,audio,3,15,19,0.04414935037493706,aligned_window_index; source mapping required
20,vision,1,45,49,0.06857958436012268,aligned_window_index; source mapping required
20,vision,2,30,34,0.04403631016612053,aligned_window_index; source mapping required
20,vision,3,0,4,0.0367438830435276,aligned_window_index; source mapping required
